,0,1,2,3,4,5,6
0,infileELF/syslog_sample,__libc_csu_init,push r15,push r14,"mov r15d, edi",push r13,push r12
1,infileELF/syslog_sample,_start,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0"
2,infileELF/syslog_sample,main,push rbp,"mov rbp, rsp","mov edx, 8","mov esi, 3","mov edi, 0x400678"
3,infileELF/ptrace,my_command,push rbp,"mov rbp, rsp","sub rsp, 0xf0","mov dword ptr [rbp - 0xe4], edi","mov rax, qword ptr fs:[0x28]"
4,infileELF/ptrace,p_attach,push rbp,"mov rbp, rsp","sub rsp, 0x20","mov dword ptr [rbp - 0x14], edi","mov rax, qword ptr fs:[0x28]"
5,infileELF/ptrace,convertNum_endian,push rbp,"mov rbp, rsp","mov qword ptr [rbp - 0x18], rdi","mov qword ptr [rbp - 8], 0","mov rax, qword ptr [rbp - 0x18]"
6,infileELF/ptrace,testcode_convertNum_endian,push rbp,"mov rbp, rsp","sub rsp, 0x10","movabs rax, 0x1122334455667788","mov qword ptr [rbp - 8], rax"
7,infileELF/ptrace,p_break,push rbp,"mov rbp, rsp","sub rsp, 0x20","mov dword ptr [rbp - 0x14], edi","mov qword ptr [rbp - 0x20], rsi"
8,infileELF/ptrace,p_delete,push rbp,"mov rbp, rsp","sub rsp, 0x100","mov dword ptr [rbp - 0xe4], edi","mov qword ptr [rbp - 0xf0], rsi"
9,infileELF/ptrace,p_continue,push rbp,"mov rbp, rsp","sub rsp, 0x30","mov dword ptr [rbp - 0x24], edi","mov rax, qword ptr fs:[0x28]"
10,infileELF/ptrace,p_stepi,push rbp,"mov rbp, rsp","sub rsp, 0x20","mov dword ptr [rbp - 0x14], edi","mov rax, qword ptr fs:[0x28]"
11,infileELF/ptrace,p_quit,push rbp,"mov rbp, rsp","sub rsp, 0x10","mov dword ptr [rbp - 4], edi","mov eax, dword ptr [rbp - 4]"
12,infileELF/ptrace,__stat,"mov rdx, rsi","mov rsi, rdi","mov edi, 1",jmp 0x3ffef0,
